27 21.5 21.9 22.6 24.8 27.0 27.6 28.0
28 22.9 23.3 23.9 25.9 28.0 28.5 28.9
29 24.2 24.5 25.1 27.0 28.9 29.4 29.7
30 25.3 25.7 26.2 27.9 29.7 30.2 30.5
31 26.4 26.7 27.2 28.9 30.5 31.0 31.3
32 27.4 27.7 28.1 29.7 31.3 31.7 32.0
33 28.3 28.6 29.0 30.5 32.0 32.5 32.7
34 29.2 29.4 29.8 31.3 32.7 33.1 33.4
35 29.9 30.2 30.6 32.0 33.4 33.8 34.0
36 30.7 30.9 31.3 32.7 34.0 34.4 34.7
37 31.4 31.6 32.0 33.3 34.6 35.0 35.3
38 32.0 32.2 32.6 33.9 35.2 35.6 35.8
39 32.6 32.8 33.2 34.5 35.8 36.1 36.4
40 33.2 33.4 33.8 35.0 36.3 36.7 36.9
41 33.7 33.9 34.3 35.6 36.8 37.2 37.4
42 34.2 34.4 34.8 36.1 37.3 37.7 37.9
43 34.7 34.9 35.3 36.5 37.8 38.1 38.4
44 35.1 35.4 35.7 37.0 38.2 38.6 38.8
45 35.6 35.8 36.2 37.4 38.7 39.0 39.2
46 36.0 36.2 36.6 37.8 39.1 39.4 39.7
47 36.4 36.6 36.9 38.2 39.5 39.8 40.1
48 36.7 37.0 37.3 38.6 39.9 40.2 40.5
49 37.1 37.3 37.7 38.9 40.2 40.6 40.8
50 37.4 37.6 38.0 39.3 40.6 41.0 41.2
51 37.7 38.0 38.3 39.6 40.9 41.3 41.6
52 38.0 38.3 38.6 40.0 41.3 41.6 41.9
53 38.3 38.5 38.9 40.3 41.6 42.0 42.2
54 38.6 38.8 39.2 40.6 41.9 42.3 42.5
55 38.8 39.1 39.5 40.8 42.2 42.6 42.9
56 39.1 39.3 39.7 41.1 42.5 42.9 43.2
57 39.3 39.6 40.0 41.4 42.8 43.2 43.4
58 39.6 39.8 40.2 41.6 43.1 43.5 43.7
59 39.8 40.1 40.5 41.9 43.3 43.7 44.0
60 40.0 40.3 40.7 42.1 43.6 44.0 44.3
61 40.2 40.5 40.9 42.4 43.8 44.3 44.5
62 40.4 40.7 41.1 42.6 44.1 44.5 44.8
63 40.6 40.9 41.3 42.8 44.3 44.7 45.0
64 40.8 41.1 41.5 43.0 44.5 45.0 45.3
